google-symbols,hfpxzc href,jHLihd,qBF1Pd,MW4etd,UY7F9,W4Efsd,W4Efsd (2),W4Efsd (3),W4Efsd (4),W4Efsd (5),W4Efsd (6),UsdlK,lcr4fd href,Cw1rxd,R8c4Qb,Cw1rxd (2),R8c4Qb (2),ah5Ghc,M4A5Cf,ah5Ghc (2),bm892c href,LDHnMb,c2ePGf,NlVald
,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.google.com/maps/place/%E4%BF%AE%E7%B9%95%E5%AE%B6%E6%B0%B4%E9%9B%BB%E5%86%B7%E6%B0%A3%EF%BC%8E%E4%BF%9D%E5%93%A5/data=!4m7!3m6!1s0x3442abcc29172049:0x6622186d063e0ef0!8m2!3d25.049917!4d121.567327!16s%2Fg%2F11qrsl7lgx!19sChIJSSAXKcyrQjQR8A4-Bm0YImY?authuser=0&hl=zh-TW&rclk=1,贊助商廣告,修繕家水電冷氣．保哥,5.0,(484),修繕公司,·,5號 南京東路五段286巷,已打烊,⋅ 開始營業時間：週二09:00,·,02 2747 4200,https://www.google.com/aclk?sa=L&ai=DChsSEwjRg-C9woqRAxV-2hYFHZAsCOUYACICCAEQBhoCdGw&co=1&ase=2&gclid=Cj0KCQiAoZDJBhC0ARIsAERP-F--gLInGtHaVmn4ACd-iETkb-22DoFY4XK_B8XakJZulk3Tii8G7OUaAtoAEALw_wcB&cid=CAASuwHkaLMHZUETPTdJLF_dVZfwtnkNFAco1SJOSqMw1mmUF4QdsvhSFq54YefKmi9F--ewyFvU1iMFaFw8ENtIHHNH47c4fUDbTnQfzzU66BAnLzkW99Nw2T_3V4HFa_dDNelrSu7MyccwIQD956K_5dp02RAwEWQHG9Hyv5sQNcd_WEGLl_KeHiNFpdy5jF4_mkwpFxUQY-CiSv4SOXBbqC8xasYnWg9pdwb1ArCJRMZByEYdtW_1rnCBS0KH&cce=2&category=acrcp_v1_32&sig=AOD64_21WlXuaAZ8cRjJSJiVUiOfEt9BNQ&adurl&q&ctype=99&nis=6,,網站,,規劃路線,,,,,,,
,https://www.google.com/maps/place/%E8%87%B3%E5%96%84%E6%B0%B4%E9%9B%BB%E8%A1%8C/data=!4m7!3m6!1s0x3442a9835f38f051:0xc846f366a79f9012!8m2!3d25.0299588!4d121.5267302!16s%2Fg%2F11xbcbpz6!19sChIJUfA4X4OpQjQREpCfp2bzRsg?authuser=0&hl=zh-TW&rclk=1,,至善水電行,4.8,"(1,373)",水匠,·,·,金山南路二段125號,即將打烊,：18:30 · 開始營業時間：週二10:30,02 2393 6600,https://www.facebook.com/JSMALLTW/,,網站,,規劃路線,門市服務,,,,,,
,https://www.google.com/maps/place/%E6%96%B0%E6%B3%B0%E6%B0%B4%E9%9B%BB%E8%A1%8C/data=!4m7!3m6!1s0x3442a98f536b7d3b:0x51835d8f939ac1ae!8m2!3d25.0231644!4d121.5311731!16s%2Fg%2F1pzxb_syr!19sChIJO31rU4-pQjQRrsGak49dg1E?authuser=0&hl=zh-TW&rclk=1,,新泰水電行,4.7,(39),水電承辦商,·,泰順街48-1號,營業中,· 打烊時間：19:00,·,02 2363 1616,,,規劃路線,,,,,,,,,
,https://www.google.com/maps/place/%E7%AB%8B%E7%A5%A5%E6%B0%B4%E9%9B%BB%E8%A1%8C/data=!4m7!3m6!1s0x3442a991cf791ded:0xd2bb9608102a05d6!8m2!3d25.0217851!4d121.5247211!16s%2Fg%2F1pzv74rp3!19sChIJ7R15z5GpQjQR1gUqEAiWu9I?authuser=0&hl=zh-TW&rclk=1,,立祥水電行,3.6,(27),水匠,·,汀州路二段305號,營業中,· 打烊時間：21:00,·,02 2367 8948,,,規劃路線,,,,,,,,,
,https://www.google.com/maps/place/%E5%B3%B0%E8%A3%95%E6%B0%B4%E9%9B%BB%E5%86%B7%E6%B0%A3%E8%A1%8C/data=!4m7!3m6!1s0x3442a98392abb461:0xdbec4a2eecc1a5ab!8m2!3d25.0298513!4d121.5298218!16s%2Fg%2F1pzvpjnw3!19sChIJYbSrkoOpQjQRq6XB7C5K7Ns?authuser=0&hl=zh-TW&rclk=1,,峰裕水電冷氣行,4.3,(62),水匠,·,金華街231號,·,營業中,· 打烊時間：23:30,0908 897 697,https://lin.ee/plMMjjn,,網站,,規劃路線,門市服務,·,線上估價服務,,,,
,https://www.google.com/maps/place/%E5%85%83%E6%88%90%E5%86%B7%E6%B0%A3%E9%9B%BB%E6%A9%9F%E8%A1%8C/data=!4m7!3m6!1s0x3442a990105cefcd:0x3a592afb5745b5e6!8m2!3d25.024253!4d121.5248225!16s%2Fg%2F1tdkvckf!19sChIJze9cEJCpQjQR5rVFV_sqWTo?authuser=0&hl=zh-TW&rclk=1,,元成冷氣電機行,4.0,(5),水電承辦商,·,羅斯福路三段3號,即將打烊,：18:00 · 開始營業時間：週二09:00,·,02 2369 5088,,,規劃路線,,,,,,,,,
,https://www.google.com/maps/place/%E4%BF%A1%E5%AE%9C%E6%B0%B4%E9%9B%BB%E8%A1%8C/data=!4m7!3m6!1s0x3442a996b81cf7f9:0xc0102cbe6e9909c5!8m2!3d25.0224521!4d121.5191225!16s%2Fg%2F11btv66grj!19sChIJ-fccuJapQjQRxQmZbr4sEMA?authuser=0&hl=zh-TW&rclk=1,,信宜水電行,4.6,(74),水電承辦商,·,牯嶺街155號,營業中,· 打烊時間：21:00,·,0910 901 992,,,規劃路線,,,,,,,,,
,https://www.google.com/maps/place/%E8%9E%A2%E5%85%89%E6%B0%B4%E9%9B%BB%E5%B7%A5%E7%A8%8B%E8%A1%8C/data=!4m7!3m6!1s0x3442a99121728e1f:0xdf04c6f6bc96edf2!8m2!3d25.0230348!4d121.5210809!16s%2Fg%2F1pzs_18y1!19sChIJH45yIZGpQjQR8u2WvPbGBN8?authuser=0&hl=zh-TW&rclk=1,,螢光水電工程行,3.6,(55),水電承辦商,·,同安街83號,即將打烊,：18:00 · 開始營業時間：週二08:00,·,02 2367 0705,,,規劃路線,,,,,,,,,
,https://www.google.com/maps/place/%E6%B3%B0%E9%A0%86%E6%B0%B4%E9%9B%BB%E8%A1%8C/data=!4m7!3m6!1s0x3442a9867fd58a2d:0xebe316b252ce9af9!8m2!3d25.0261146!4d121.5314532!16s%2Fg%2F1pzydvz87!19sChIJLYrVf4apQjQR-ZrOUrIW4-s?authuser=0&hl=zh-TW&rclk=1,,泰順水電行,2.6,(82),水匠,·,和平東路一段208號,已打烊,⋅ 開始營業時間：週二08:00,·,02 2363 5280,,,規劃路線,,,,,,,,,
